Name,Connectivity,Connectivity2,OPID,weight_size,ifmx,ifmy,ifmz,ofmx,ofmy,ofmz
139,140,,100000,1048576,2048,7,7,512,7,7
140,141,,010000,0,512,7,7,512,7,7
141,142,,001000,0,512,7,7,512,7,7
142,143,,100000,2359296,512,7,7,512,7,7
143,144,,010000,0,512,7,7,512,7,7
144,145,,001000,0,512,7,7,512,7,7
145,146,,100000,1048576,512,7,7,2048,7,7
146,147,,010000,0,2048,7,7,2048,7,7
147,148,156,001000,0,2048,7,7,2048,7,7
148,149,,100000,1048576,2048,7,7,512,7,7
149,150,,010000,0,512,7,7,512,7,7
150,151,,001000,0,512,7,7,512,7,7
151,152,,100000,2359296,512,7,7,512,7,7
152,153,,010000,0,512,7,7,512,7,7
153,154,,001000,0,512,7,7,512,7,7
154,155,,100000,1048576,512,7,7,2048,7,7
155,156,,010000,0,2048,7,7,2048,7,7
156,157,,001000,0,2048,7,7,2048,7,7
157,158,,000001,0,2048,7,7,2048,1,1
158,0,,000100,2048000,2048,1,,4,1000,
